ref,value,footprint,x,y,side,angle,sheet
U1,ESP32-S3-WROOM-1-N16R8,RF_Module:ESP32-S3-WROOM-1,83,45,B,180,core
R1,10k,Resistor_SMD:R_0402_1005Metric,73,61,B,0,core
R2,10k,Resistor_SMD:R_0402_1005Metric,76,61,B,0,core
C1,1uF,Capacitor_SMD:C_0402_1005Metric,73,64,B,0,core
C2,10uF,Capacitor_SMD:C_0805_2012Metric,80,61,B,0,core
C3,100nF,Capacitor_SMD:C_0402_1005Metric,83,61,B,0,core
SW17,MCU_BOOT,Button_Switch_SMD:SW_SPST_TL3342,78,166,F,0,core
SW18,MCU_EN,Button_Switch_SMD:SW_SPST_TL3342,87,166,F,0,core
U2,TCA8418RTWR,Package_DFN_QFN:Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,123,119,F,0,keys
C4,100nF,Capacitor_SMD:C_0402_1005Metric,128,119,F,0,keys
R3,4.7k,Resistor_SMD:R_0402_1005Metric,119,115,F,0,keys
R4,4.7k,Resistor_SMD:R_0402_1005Metric,122,115,F,0,keys
R5,10k,Resistor_SMD:R_0402_1005Metric,125,115,F,0,keys
SW1,1,Button_Switch_SMD:SW_SPST_TL3342,77.5,111,F,0,keys
SW2,2,Button_Switch_SMD:SW_SPST_TL3342,92.5,111,F,0,keys
SW3,3,Button_Switch_SMD:SW_SPST_TL3342,107.5,111,F,0,keys
SW4,4,Button_Switch_SMD:SW_SPST_TL3342,122.5,111,F,0,keys
SW5,5,Button_Switch_SMD:SW_SPST_TL3342,77.5,126,F,0,keys
SW6,6,Button_Switch_SMD:SW_SPST_TL3342,92.5,126,F,0,keys
SW7,7,Button_Switch_SMD:SW_SPST_TL3342,107.5,126,F,0,keys
SW8,8,Button_Switch_SMD:SW_SPST_TL3342,122.5,126,F,0,keys
SW9,9,Button_Switch_SMD:SW_SPST_TL3342,77.5,141,F,0,keys
SW10,10,Button_Switch_SMD:SW_SPST_TL3342,92.5,141,F,0,keys
SW11,11,Button_Switch_SMD:SW_SPST_TL3342,107.5,141,F,0,keys
SW12,12,Button_Switch_SMD:SW_SPST_TL3342,122.5,141,F,0,keys
SW13,13,Button_Switch_SMD:SW_SPST_TL3342,77.5,156,F,0,keys
SW14,14,Button_Switch_SMD:SW_SPST_TL3342,92.5,156,F,0,keys
